人群,MJ/轻/男,MJ/轻/女,MJ/中/男,MJ/中/女,MJ/重/男,MJ/重/女,kcal/轻/男,kcal/轻/女,kcal/中/男,kcal/中/女,kcal/重/男,kcal/重/女
0,,,0.38,0.38,,,,,,,,
0.5,,,0.33,0.33,,,,,,,,
1,,,3.77,3.55,,,,,,,,
2,,,4.60,4.18,,,,,,,,
3,,,5.23,5.02,,,,,,,,
4,,,5.44,5.23,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
14,,,,,,,,,,,,
18,,,,,,,,,,,,
50,,,,,,,,,,,,
65,,,,,,,,,,,,
80,,,,,,,,,,,,
早期,,+0,,+0,,,,,,,,
中期,,+1.26,,+1.26,,,,,,,,
晚期,,+1.88,,+1.88,,,,,,,,
乳母,,+2.09,,+2.09,,,,,,,,
