人群,A/RNI/男,A/RNI/女,D/RNI,D/AI,E/AI,K/AI,B1/RNI/男,B1/RNI/女,B2/RNI/男,B2/RNI/女,B6/RNI,B12/RNI,泛酸/AI,叶酸/RNI,烟酸/RNI/男,烟酸/RNI/女,胆碱/AI/男,胆碱/AI/女,生物素/AI,维生素C/RNI
0,300/AI,300/AI,,10,3,,,0.1/AI,,,0.2/AI,0.3/AI,,,,,,,,
0.5,350/AI,350/AI,,10,4,,,0.3/AI,,,0.4/AI,0.4/AI,,,,,,,,
1,310,310,10,,6,,0.6,0.6,,,0.6,1.0,,,,,,,,
4,360,360,10,,7,,0.8,0.7,,,0.7,1.2,,,,,,,,
7,,,10,,9,,1.0,1.0,,,,,,,,,,,,
11,,,,,13,,,,,,,,,,,,,,,
14,,,,,14,,,,,,,,,,,,,,,
18,,,,,14,,,,,,,,,,,,,,,
50,,,,,14,,,,,,,,,,,,,,,
65,,,,,14,,,,,,,,,,,,,,,
80,,,,,14,,,,,,,,,,,,,,,
早期,,,,,0,,,,,,,,,,,,,,,
中期,,,,,0,,,,,,,,,,,,,,,
晚期,,,,,0,,,,,,,,,,,,,,,
乳母,,,,,3,,,,,,,,,,,,,,,
