人群,钙/RNI,磷/RNI,钾/AI,钠/AI,镁/RNI,氯/AI,铁/RNI/男,铁/RNI/女,碘/RNI,锌/RNI/男,锌/RNI/女,硒/RNI,铜/RNI,氟/AI,铬/AI,锰/AI,钼/RNI,,,,,
0,200/AI,100/AI,350,170,20/AI,20/AI,0.3/AI,0.3/AI,85/AI,2.0/AI,2.0/AI,15/AI,0.3/AI,0.01,0.2,0.01,2/AI,,,,,
0.5,250/AI,180/AI,,,,,,,,,,,,,,,,,,,,
1,310,310,,,,,,,,,,,,,,,,,,,,
4,360,360,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,
早期,,,,,,,,,,,,,,,,,,,,,,
中期,200,,,,,,,,,,,,,,,,,,,,,
晚期,200,,,,,,,,,,,,,,,,,,,,,
乳母,200,,,,,,,,,,,,,,,,,,,,,
